#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
ATCOPIA62#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	89	9	13	5,5	4961	85	14
ATCOPIA63#LTR/Copia	LTR/Copia	LTR_retrotransposon	78	87	8	15	5,5	4819	94	10
ATCOPIA64#LTR/Copia	LTR/Copia	LTR_retrotransposon	66	85	5	16	5,5	4695	97	19
ATCOPIA66#LTR/Copia	LTR/Copia	LTR_retrotransposon	95	84	10	17	5,5	5249	83	29
ATCOPIA67#LTR/Copia	LTR/Copia	LTR_retrotransposon	32	92	10	15	5,5	3972	88	30
ATCOPIA68#LTR/Copia	LTR/Copia	LTR_retrotransposon	92	81	11	18	5,5	4981	87	2
ATCOPIA69A#LTR/Copia	LTR/Copia	LTR_retrotransposon	24	93	19	10	5,5	5156	85	27
ATCOPIA69#LTR/Copia	LTR/Copia	LTR_retrotransposon	56	85	6	16	5,5	5160	88	11
ATCOPIA6#LTR/Copia	LTR/Copia	LTR_retrotransposon	68	88	9	18	5,5	4718	93	20
ATCOPIA70#LTR/Copia	LTR/Copia	LTR_retrotransposon	73	83	16	16	5,5	5041	80	1
ATCOPIA71#LTR/Copia	LTR/Copia	LTR_retrotransposon	73	90	5	8	5,5	5528	81	20
ATCOPIA72#LTR/Copia	LTR/Copia	LTR_retrotransposon	47	89	3	10	5,5	4831	91	19
ATCOPIA73#LTR/Copia	LTR/Copia	LTR_retrotransposon	32	81	16	6	5,5	4870	85	27
ATCOPIA74#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	86	5	6	5,5	3861	89	16
ATCOPIA75#LTR/Copia	LTR/Copia	LTR_retrotransposon	11	85	11	16	5,5	4867	91	26
ATCOPIA76#LTR/Copia	LTR/Copia	LTR_retrotransposon	53	86	19	13	5,5	5720	92	28
ATCOPIA77#LTR/Copia	LTR/Copia	LTR_retrotransposon	91	90	8	19	5,5	4900	83	10
ATCOPIA78#LTR/Copia	LTR/Copia	LTR_retrotransposon	92	91	5	15	5,5	4957	81	3
ATCOPIA79#LTR/Copia	LTR/Copia	LTR_retrotransposon	22	88	4	10	5,5	5342	88	25
ATCOPIA7#LTR/Copia	LTR/Copia	LTR_retrotransposon	32	90	17	20	5,5	5083	86	14
ATCOPIA80#LTR/Copia	LTR/Copia	LTR_retrotransposon	64	92	1	10	5,5	4280	93	20
ATCOPIA81#LTR/Copia	LTR/Copia	LTR_retrotransposon	60	83	10	13	5,5	4966	95	18
ATCOPIA82#LTR/Copia	LTR/Copia	LTR_retrotransposon	37	85	13	16	5,5	5295	88	13
ATCOPIA83#LTR/Copia	LTR/Copia	LTR_retrotransposon	95	84	9	16	5,5	4923	95	14
ATCOPIA84#LTR/Copia	LTR/Copia	LTR_retrotransposon	63	84	9	14	5,5	4882	87	22
ATCOPIA85#LTR/Copia	LTR/Copia	LTR_retrotransposon	47	93	2	8	5,5	3878	85	0
ATCOPIA86#LTR/Copia	LTR/Copia	LTR_retrotransposon	63	91	7	16	5,5	5225	84	16
ATCOPIA87#LTR/Copia	LTR/Copia	LTR_retrotransposon	28	89	14	18	5,5	5221	83	12
ATCOPIA88#LTR/Copia	LTR/Copia	LTR_retrotransposon	65	90	18	13	5,5	5363	85	9
ATCOPIA89#LTR/Copia	LTR/Copia	LTR_retrotransposon	74	95	5	5	5,5	5004	90	21
ATCOPIA8A#LTR/Copia	LTR/Copia	LTR_retrotransposon	20	86	18	19	5,5	5265	89	6
ATCOPIA8B#LTR/Copia	LTR/Copia	LTR_retrotransposon	60	93	19	11	5,5	5085	87	3
ATCOPIA90#LTR/Copia	LTR/Copia	LTR_retrotransposon	41	88	2	18	5,5	5147	98	25
ATCOPIA91#LTR/Copia	LTR/Copia	LTR_retrotransposon	37	83	20	19	5,5	5270	96	6
ATCOPIA92#LTR/Copia	LTR/Copia	LTR_retrotransposon	64	94	11	8	5,5	4803	95	23
ATCOPIA93#LTR/Copia	LTR/Copia	LTR_retrotransposon	65	83	2	20	5,5	5348	87	25
ATCOPIA94#LTR/Copia	LTR/Copia	LTR_retrotransposon	29	82	14	18	5,5	4938	82	4
ATCOPIA95#LTR/Copia	LTR/Copia	LTR_retrotransposon	32	87	11	13	5,5	6821	96	16
ATCOPIA96#LTR/Copia	LTR/Copia	LTR_retrotransposon	24	85	19	10	5,5	4896	88	15
ATCOPIA97#LTR/Copia	LTR/Copia	LTR_retrotransposon	85	93	4	18	5,5	3742	88	22
ATCOPIA9#LTR/Copia	LTR/Copia	LTR_retrotransposon	75	92	20	6	5,5	5066	98	29
Copia-1_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	31	80	14	19	5,5	4981	94	16
Copia-2_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	61	91	7	20	5,5	4745	82	15
Copia-3_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	12	94	8	15	5,5	5154	87	17
ATCOPIA31A_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	39	83	2	19	5,5	288	82	21
ATCOPIA32B_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	94	81	15	20	5,5	766	90	19
ATCOPIA38ALTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	16	93	3	12	5,5	162	93	6
ATCOPIA40_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	45	81	13	9	5,5	4131	94	30
ATCOPIA65ALTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	22	80	11	7	5,5	305	88	9
ATCOPIA65_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	67	92	7	8	5,5	4165	98	4
ENDOVIR1_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	14	85	17	16	5,5	7985	94	4
TA1-2_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	39	81	14	17	5,5	4192	91	20
Os0045_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	16	82	18	16	5,5	1912	96	10
Os0078_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	86	91	8	19	5,5	1843	86	1
Os0082_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	17	87	2	9	5,5	423	95	12
Os0083_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	73	92	4	16	5,5	965	86	15
Os0201_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	66	90	15	14	5,5	323	89	21
Os0259_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	33	87	9	17	5,5	4938	94	0
Os0292_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	75	83	6	15	5,5	216	83	11
Os0323_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	52	85	4	5	5,5	2444	94	15
Os0338_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	17	82	6	18	5,5	5164	96	21
Os0352_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	77	86	20	13	5,5	122	92	5
Os0708_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	28	92	6	7	5,5	135	94	7
Os1077_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	38	91	19	7	5,5	1034	81	3
Os1557_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	89	13	9	5,5	3222	93	23
Os2167_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	81	80	3	19	5,5	589	82	1
Os2244_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	74	83	14	18	5,5	1697	88	26
Os2617_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	47	86	8	15	5,5	496	93	5
Os2739_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	30	91	15	5	5,5	491	84	23
Os2852_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	42	89	2	8	5,5	286	90	27
Os3040_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	43	87	8	5	5,5	282	97	22
Os3411_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	46	94	14	13	5,5	570	89	15
Os3425_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	85	84	7	16	5,5	470	87	7
Os3447_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	16	89	12	7	5,5	412	96	10
Os3468_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	96	95	10	9	5,5	253	88	27
Os3553_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	61	90	7	10	5,5	406	85	11
Os3564_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	62	90	9	5	5,5	285	94	26
Os3596_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	85	14	19	5,5	598	95	8
Os3597_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	43	85	3	17	5,5	932	89	8
Os3638_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	12	82	7	9	5,5	394	97	15
ATGP10#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	57	93	9	11	5,5	7629	86	28
ATGP11#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	65	87	16	16	5,5	4145	89	19
ATGP1#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	86	90	19	16	5,5	8297	92	15
ATGP2#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	30	88	18	13	5,5	7623	91	16
ATGP2N#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	39	91	18	11	5,5	5233	84	18
ATGP3A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	17	89	12	15	5,5	4997	85	25
ATGP3B#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	97	85	12	14	5,5	5338	85	25
ATGP3#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	44	87	12	10	5,5	5243	80	24
ATGP4#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	22	83	5	12	5,5	5714	93	11
ATGP5A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	94	90	18	16	5,5	6239	91	20
ATGP5#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	41	84	7	7	5,5	6359	81	29
ATGP6#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	69	88	14	5	5,5	5695	88	26
ATGP7#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	8	85	20	12	5,5	6205	88	18
ATGP8#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	29	81	12	15	5,5	8683	93	19
ATHILA2#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	85	86	4	17	5,5	10923	95	4
ATHILA3#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	16	94	20	14	5,5	10630	88	6
ATHILA4C#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	33	92	13	17	5,5	10955	92	15
ATHILA5#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	18	94	5	8	5,5	10751	97	17
ATHILA6A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	51	86	2	17	5,5	11611	85	10
ATHILA7#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	15	82	2	18	5,5	12842	87	14
ATHILA8A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	71	93	16	11	5,5	8869	92	18
ATHILA8B#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	74	88	13	6	5,5	8341	91	8
ATLANTYS1#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	40	94	11	9	5,5	11667	89	24
ATLANTYS2#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	27	87	9	7	5,5	10919	83	13
ATHILA0_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	41	82	9	6	5,5	10046	95	20
ATHILA4B_LTR#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	36	87	13	11	5,5	1209	98	7
ATHILA4D_LTR#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	24	80	17	10	5,5	1165	85	13
ATHILA4_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	90	95	9	12	5,5	3022	88	29
ATHILA6B_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	37	80	3	7	5,5	7963	88	21
ATHILA6C_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	25	93	16	12	5,5	10743	84	15
ATHILA7A_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	69	87	3	15	5,5	4754	96	20
ROMANIAT5#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	94	91	3	11	5,5	3398	97	27
TA1_AT#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	55	87	15	18	5,5	542	86	10
TAT1_ATH#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	12	89	15	14	5,5	3960	85	16
Os0046_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	44	92	19	20	5,5	1556	82	1
Os0118_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	38	90	3	10	5,5	843	94	6
Os0121_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	93	81	12	19	5,5	1205	88	16
Os0133_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	19	94	9	5	5,5	3342	91	18
Os0141_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	46	84	16	5	5,5	3108	82	3
Os0142_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	82	94	4	14	5,5	3424	84	24
Os0165_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	31	92	2	10	5,5	1459	91	16
Os0172_INT_IC_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	74	88	11	15	5,5	10415	93	0
Os0174_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	52	92	19	18	5,5	6404	81	16
Os0209_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	82	83	7	19	5,5	371	93	30
Os0225_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	26	87	13	19	5,5	5105	85	18
Os0252_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	67	92	10	19	5,5	2168	96	17
Os0262_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	28	81	7	12	5,5	6195	91	14
Os0264_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	86	14	14	5,5	3782	86	27
Os0266_INT_IC_Bajie#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	77	94	14	13	5,5	3878	93	10
Os0271_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	57	93	17	19	5,5	2465	90	28
Os0320_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	68	87	19	19	5,5	572	98	12
Os0329_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	51	95	10	10	5,5	3093	92	8
Os0346_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	95	92	15	18	5,5	5866	85	7
Os0404_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	11	91	6	8	5,5	3229	92	14
Os0498_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	42	82	5	7	5,5	1361	80	0
Os0500_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	38	82	2	16	5,5	3981	82	21
Os0706_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	31	95	18	19	5,5	5312	88	15
Os0726_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	100	90	13	11	5,5	819	96	30
Os0735_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	93	84	5	15	5,5	1473	95	20
Os0738_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	26	90	6	5	5,5	5102	90	0
Os0777_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	94	93	3	20	5,5	3864	95	18
Os0869_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	16	88	20	17	5,5	2722	93	19
Os1076_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	29	82	14	18	5,5	1878	95	20
Os1082_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	94	80	15	14	5,5	1147	90	22
Os1164_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	83	91	5	16	5,5	5393	96	14
Os1173_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	93	95	6	7	5,5	5665	97	21
Os1178_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	63	91	14	13	5,5	594	93	13
Os1268_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	27	93	19	10	5,5	6144	81	8
Os1330_LTR_ICL#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	52	88	19	18	5,5	1043	95	19
Os1337_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	83	91	13	18	5,5	1140	93	25
Os1502_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	38	91	10	20	5,5	1679	85	25
Os1597_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	94	82	10	12	5,5	4639	82	3
Os1598_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	36	83	19	18	5,5	4212	98	4
Os1619_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	15	88	9	14	5,5	3303	85	25
Os1699_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	34	90	9	16	5,5	4116	84	22
Os1718_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	49	87	15	6	5,5	337	97	16
Os1737_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	32	80	8	7	5,5	2234	92	7
Os1742_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	38	84	5	7	5,5	661	93	10
Os1888_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	19	90	16	5	5,5	3226	83	13
Os1942_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	92	85	15	20	5,5	3429	90	29
Os1951_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	19	92	10	18	5,5	5280	83	26
Os1956_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	31	91	12	10	5,5	2111	87	24
Os1980_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	77	80	6	17	5,5	1278	91	21
Os2013_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	75	84	13	9	5,5	1285	92	23
Os2123_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	38	91	5	6	5,5	4110	81	26
Os2214_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	14	82	10	11	5,5	5679	91	28
Os2245_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	65	80	6	13	5,5	6340	89	3
Os2258_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	12	81	5	16	5,5	1808	92	10
Os2278_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	93	81	16	5	5,5	4842	81	4
Os2344_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	30	87	1	17	5,5	1118	90	18
Os2490_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	73	81	13	19	5,5	590	84	29
Os2621_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	43	80	9	10	5,5	2775	85	13
Os2710_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	69	95	8	13	5,5	3036	97	25
Os2724_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	95	12	13	5,5	4395	89	10
Os2761_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	34	84	19	7	5,5	4125	98	3
Os2796_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	88	80	18	9	5,5	4209	94	2
Os2829_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	51	85	8	13	5,5	940	97	11
Os2845_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	83	93	20	10	5,5	4660	94	1
Os2848_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	34	90	4	9	5,5	1153	88	15
Os3061_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	17	93	17	5	5,5	5804	91	14
Os3063_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	27	93	9	15	5,5	5380	88	22
Os3087_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	87	83	15	10	5,5	2826	88	6
Os3096_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	29	87	6	9	5,5	5516	94	6
Os3341_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	11	81	9	19	5,5	127	87	15
Os3358_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	58	80	6	7	5,5	1484	87	7
Os3403_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	57	81	9	8	5,5	717	83	21
Os3496_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	50	95	9	14	5,5	390	90	3
Os3508_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	79	83	18	9	5,5	317	93	1
